LocationType,Location,Age group,TimeFrame,DataFormat,Data
City,District of Columbia,18 and over,2000,Number,457067
City,District of Columbia,All Ages,2000,Number,572059
City,District of Columbia,Under 18,2000,Number,114992
City,District of Columbia,Under 5,2000,Number,32536
City,District of Columbia,18 and over,2013,Number,514080
City,District of Columbia,All Ages,2013,Number,619371
City,District of Columbia,Under 18,2013,Number,105291
City,District of Columbia,Under 5,2013,Number,36492
City,District of Columbia,All Ages,2018,Number,684498
City,District of Columbia,Under 5,2018,Number,44692
City,District of Columbia,Under 18,2018,Number,121737
City,District of Columbia,18 and over,2018,Number,562761
City,District of Columbia,Under 3,2018,Number,26734
City,District of Columbia,18 and over,2010,Number,500908
City,District of Columbia,All Ages,2010,Number,601723
City,District of Columbia,Under 18,2010,Number,100815
City,District of Columbia,Under 5,2010,Number,32613
City,District of Columbia,18 and over,2009,Number,474441
City,District of Columbia,All Ages,2009,Number,588433
City,District of Columbia,Under 18,2009,Number,113992
City,District of Columbia,Under 5,2009,Number,35809
City,District of Columbia,All Ages,2015,Number,647484
City,District of Columbia,Under 5,2015,Number,40144
City,District of Columbia,Under 18,2015,Number,110588
City,District of Columbia,18 and over,2015,Number,536764
City,District of Columbia,18 and over,2011,Number,490932
City,District of Columbia,All Ages,2011,Number,595955
City,District of Columbia,Under 18,2011,Number,105023
City,District of Columbia,Under 5,2011,Number,33348
City,District of Columbia,18 and over,2012,Number,501773
City,District of Columbia,All Ages,2012,Number,605759
City,District of Columbia,Under 18,2012,Number,103986
City,District of Columbia,Under 5,2012,Number,34718
City,District of Columbia,18 and over,2014,Number,525747
City,District of Columbia,All Ages,2014,Number,633736
City,District of Columbia,Under 18,2014,Number,107989
City,District of Columbia,Under 5,2014,Number,38546
City,District of Columbia,All Ages,2017,Number,672391
City,District of Columbia,Under 5,2017,Number,43607
City,District of Columbia,Under 18,2017,Number,118058
City,District of Columbia,18 and over,2017,Number,554333
City,District of Columbia,Under 3,2017,Number,26983
City,District of Columbia,All Ages,2016,Number,659009
City,District of Columbia,Under 5,2016,Number,42177
City,District of Columbia,Under 18,2016,Number,115327
City,District of Columbia,18 and over,2016,Number,543682
City,District of Columbia,All Ages,2019,Number,692683
City,District of Columbia,Under 5,2019,Number,45040
City,District of Columbia,Under 18,2019,Number,123930
City,District of Columbia,18 and over,2019,Number,568753
City,District of Columbia,Under 3,2019,Number,27196
City,District of Columbia,All Ages,2020,Number,701974
City,District of Columbia,Under 5,2020,Number,44913
City,District of Columbia,Under 18,2020,Number,126048
City,District of Columbia,18 and over,2020,Number,575926
City,District of Columbia,Under 3,2020,Number,26847
Ward,Ward 1,Under 3,2019,Number,2898
Ward,Ward 1,18 and over,2019,Number,72979
Ward,Ward 1,Under 18,2019,Number,10832
Ward,Ward 1,Under 5,2019,Number,4223
Ward,Ward 1,All Ages,2019,Number,83811
Ward,Ward 1,All Ages,2016,Number,82898
Ward,Ward 1,Under 5,2016,Number,4559
Ward,Ward 1,Under 18,2016,Number,10444
Ward,Ward 1,18 and over,2016,Number,72454
Ward,Ward 1,All Ages,2017,Number,83598
Ward,Ward 1,Under 5,2017,Number,4464
Ward,Ward 1,Under 18,2017,Number,10673
Ward,Ward 1,18 and over,2017,Number,72925
Ward,Ward 1,Under 3,2017,Number,3154
Ward,Ward 1,18 and over,2012,Number,66528
Ward,Ward 1,All Ages,2012,Number,75814
Ward,Ward 1,Under 18,2012,Number,9286
Ward,Ward 1,Under 5,2012,Number,3874
Ward,Ward 1,18 and over,2014,Number,71623
Ward,Ward 1,All Ages,2014,Number,81637
Ward,Ward 1,Under 18,2014,Number,10014
Ward,Ward 1,Under 5,2014,Number,4380
Ward,Ward 1,All Ages,2015,Number,82859
Ward,Ward 1,Under 5,2015,Number,4723
Ward,Ward 1,Under 18,2015,Number,10523
Ward,Ward 1,18 and over,2015,Number,72336
Ward,Ward 1,18 and over,2011,Number,65854
Ward,Ward 1,All Ages,2011,Number,75454
Ward,Ward 1,Under 18,2011,Number,9600
Ward,Ward 1,Under 5,2011,Number,3836
Ward,Ward 1,18 and over,2009,Number,60104
Ward,Ward 1,All Ages,2009,Number,71198
Ward,Ward 1,Under 18,2009,Number,11094
Ward,Ward 1,Under 5,2009,Number,4382
Ward,Ward 1,18 and over,2010,Number,67163
Ward,Ward 1,All Ages,2010,Number,76197
Ward,Ward 1,Under 18,2010,Number,9034
Ward,Ward 1,Under 5,2010,Number,3480
Ward,Ward 1,Under 3,2018,Number,2911
Ward,Ward 1,18 and over,2013,Number,69636
Ward,Ward 1,All Ages,2013,Number,79145
Ward,Ward 1,Under 18,2013,Number,9509
Ward,Ward 1,Under 5,2013,Number,4136
Ward,Ward 1,All Ages,2018,Number,85134
Ward,Ward 1,Under 5,2018,Number,4354
Ward,Ward 1,Under 18,2018,Number,10908
Ward,Ward 1,18 and over,2018,Number,74226
Ward,Ward 1,18 and over,2000,Number,60262
Ward,Ward 1,All Ages,2000,Number,73364
Ward,Ward 1,Under 18,2000,Number,13102
Ward,Ward 1,Under 5,2000,Number,4105
Ward,Ward 1,Under 3,2020,Number,2866
Ward,Ward 1,18 and over,2020,Number,74299
Ward,Ward 1,Under 18,2020,Number,10990
Ward,Ward 1,Under 5,2020,Number,4446
Ward,Ward 1,All Ages,2020,Number,85289
Ward,Ward 2,18 and over,2000,Number,63356
Ward,Ward 2,All Ages,2000,Number,68869
Ward,Ward 2,Under 18,2000,Number,5513
Ward,Ward 2,Under 5,2000,Number,1803
Ward,Ward 2,All Ages,2018,Number,77791
Ward,Ward 2,Under 5,2018,Number,2447
Ward,Ward 2,Under 18,2018,Number,4790
Ward,Ward 2,18 and over,2018,Number,73001
Ward,Ward 2,18 and over,2013,Number,71332
Ward,Ward 2,All Ages,2013,Number,75186
Ward,Ward 2,Under 18,2013,Number,3854
Ward,Ward 2,Under 5,2013,Number,2095
Ward,Ward 2,Under 3,2018,Number,1890
Ward,Ward 2,18 and over,2010,Number,75259
Ward,Ward 2,All Ages,2010,Number,79915
Ward,Ward 2,Under 18,2010,Number,4656
Ward,Ward 2,Under 5,2010,Number,2021
Ward,Ward 2,18 and over,2009,Number,64044
Ward,Ward 2,All Ages,2009,Number,68845
Ward,Ward 2,Under 18,2009,Number,4801
Ward,Ward 2,Under 5,2009,Number,1896
Ward,Ward 2,18 and over,2011,Number,71875
Ward,Ward 2,All Ages,2011,Number,76815
Ward,Ward 2,Under 18,2011,Number,4940
Ward,Ward 2,Under 5,2011,Number,2226
Ward,Ward 2,18 and over,2012,Number,71051
Ward,Ward 2,All Ages,2012,Number,75116
Ward,Ward 2,Under 18,2012,Number,4065
Ward,Ward 2,Under 5,2012,Number,2186
Ward,Ward 2,18 and over,2014,Number,71656
Ward,Ward 2,All Ages,2014,Number,75780
Ward,Ward 2,Under 18,2014,Number,4124
Ward,Ward 2,Under 5,2014,Number,2083
Ward,Ward 2,All Ages,2015,Number,77645
Ward,Ward 2,Under 5,2015,Number,2174
Ward,Ward 2,Under 18,2015,Number,4348
Ward,Ward 2,18 and over,2015,Number,73297
Ward,Ward 2,All Ages,2017,Number,77940
Ward,Ward 2,Under 5,2017,Number,2327
Ward,Ward 2,Under 18,2017,Number,4572
Ward,Ward 2,18 and over,2017,Number,73368
Ward,Ward 2,Under 3,2017,Number,1805
Ward,Ward 2,All Ages,2016,Number,76956
Ward,Ward 2,Under 5,2016,Number,2309
Ward,Ward 2,Under 18,2016,Number,4387
Ward,Ward 2,18 and over,2016,Number,72569
Ward,Ward 2,All Ages,2019,Number,77855
Ward,Ward 2,Under 5,2019,Number,2286
Ward,Ward 2,Under 18,2019,Number,4351
Ward,Ward 2,18 and over,2019,Number,73504
Ward,Ward 2,Under 3,2019,Number,1691
Ward,Ward 2,All Ages,2020,Number,77923
Ward,Ward 2,Under 5,2020,Number,2307
Ward,Ward 2,Under 18,2020,Number,4049
Ward,Ward 2,18 and over,2020,Number,73874
Ward,Ward 2,Under 3,2020,Number,1545
Ward,Ward 3,Under 3,2019,Number,1977
Ward,Ward 3,18 and over,2019,Number,69309
Ward,Ward 3,Under 18,2019,Number,13428
Ward,Ward 3,Under 5,2019,Number,4107
Ward,Ward 3,All Ages,2019,Number,82737
Ward,Ward 3,All Ages,2016,Number,83237
Ward,Ward 3,Under 5,2016,Number,4162
Ward,Ward 3,Under 18,2016,Number,12902
Ward,Ward 3,18 and over,2016,Number,70335
Ward,Ward 3,Under 3,2017,Number,2405
Ward,Ward 3,All Ages,2017,Number,84021
Ward,Ward 3,Under 5,2017,Number,4429
Ward,Ward 3,Under 18,2017,Number,13423
Ward,Ward 3,18 and over,2017,Number,70598
Ward,Ward 3,18 and over,2011,Number,67374
Ward,Ward 3,All Ages,2011,Number,77346
Ward,Ward 3,Under 18,2011,Number,9972
Ward,Ward 3,Under 5,2011,Number,3331
Ward,Ward 3,18 and over,2014,Number,71221
Ward,Ward 3,All Ages,2014,Number,82795
Ward,Ward 3,Under 18,2014,Number,11574
Ward,Ward 3,Under 5,2014,Number,3966
Ward,Ward 3,18 and over,2012,Number,69583
Ward,Ward 3,All Ages,2012,Number,80344
Ward,Ward 3,Under 18,2012,Number,10761
Ward,Ward 3,Under 5,2012,Number,3571
Ward,Ward 3,All Ages,2015,Number,83152
Ward,Ward 3,Under 5,2015,Number,4241
Ward,Ward 3,Under 18,2015,Number,12722
Ward,Ward 3,18 and over,2015,Number,70430
Ward,Ward 3,18 and over,2010,Number,67044
Ward,Ward 3,All Ages,2010,Number,77152
Ward,Ward 3,Under 18,2010,Number,10108
Ward,Ward 3,Under 5,2010,Number,3377
Ward,Ward 3,18 and over,2009,Number,64206
