Geography,cd,"Estimate!!Households!!Total!!$200,000 or more"
5001600US0101,0101,4.3
5001600US0102,0102,3.4
5001600US0103,0103,3.5
5001600US0104,0104,2.8
5001600US0105,0105,5.9
5001600US0106,0106,8.7
5001600US0107,0107,2.1
5001600US0200,0200,8.8
5001600US0401,0401,4.2
5001600US0402,0402,5.1
5001600US0403,0403,2.7
5001600US0404,0404,3.5
5001600US0405,0405,10.1
5001600US0406,0406,13.1
5001600US0407,0407,2.6
5001600US0408,0408,6.4
5001600US0409,0409,7.8
5001600US0501,0501,2.6
5001600US0502,0502,4.9
5001600US0503,0503,5.8
5001600US0504,0504,2.2
5001600US0601,0601,5.8
5001600US0602,0602,16.6
5001600US0603,0603,8.4
5001600US0604,0604,12.9
5001600US0605,0605,11.7
5001600US0606,0606,6.6
5001600US0607,0607,10.2
5001600US0608,0608,4.2
5001600US0609,0609,8.8
5001600US0610,0610,7
5001600US0611,0611,20.6
5001600US0612,0612,29.5
5001600US0613,0613,17.9
5001600US0614,0614,27.6
5001600US0615,0615,26.3
5001600US0616,0616,3.3
5001600US0617,0617,32.2
5001600US0618,0618,36.6
5001600US0619,0619,22.2
5001600US0620,0620,12.4
5001600US0621,0621,2.5
5001600US0622,0622,7.2
5001600US0623,0623,5.9
5001600US0624,0624,11.9
5001600US0625,0625,12.2
5001600US0626,0626,14.1
5001600US0627,0627,14.4
5001600US0628,0628,13.2
5001600US0629,0629,5.7
5001600US0630,0630,15.9
5001600US0631,0631,7.7
5001600US0632,0632,7.2
5001600US0633,0633,27.7
5001600US0634,0634,5.9
5001600US0635,0635,4.4
5001600US0636,0636,6.3
5001600US0637,0637,11
5001600US0638,0638,7.8
5001600US0639,0639,15.1
5001600US0640,0640,3
5001600US0641,0641,6.2
5001600US0642,0642,12.4
5001600US0643,0643,8.2
5001600US0644,0644,5
5001600US0645,0645,22
5001600US0646,0646,6.3
5001600US0647,0647,10.2
5001600US0648,0648,19.4
5001600US0649,0649,19.5
5001600US0650,0650,10.5
5001600US0651,0651,3.2
5001600US0652,0652,19.6
5001600US0653,0653,10
5001600US0801,0801,11.6
5001600US0802,0802,13.5
5001600US0803,0803,4.9
5001600US0804,0804,10.2
5001600US0805,0805,7
5001600US0806,0806,12.1
5001600US0807,0807,7.8
5001600US0901,0901,9.9
5001600US0902,0902,10.8
5001600US0903,0903,9.4
5001600US0904,0904,24.7
5001600US0905,0905,11.7
5001600US09ZZ,09ZZ,-
5001600US1000,1000,7.6
5001600US1198,1198,19.8
5001600US1201,1201,5.3
5001600US1202,1202,4
5001600US1203,1203,4.6
5001600US1204,1204,9.7
